Task,treatment,rho_ha_est,rho_ha_min,rho_ha_max,rho_hh_est,rho_hh_min,rho_hh_max,phi_0_est,phi_0_min,phi_0_max,alpha_est,alpha_min,alpha_max
123,tr_better,0.592651725,0.509663926,0.664878121,0.55299432,0.497175575,0.609148201,0.659162568,0.544340565,0.728595623,0.52502836,0.448068369,0.751071211
124,tr_better,0.605052928,0.523678107,0.676180789,0.552552743,0.470423462,0.61055896,0.657090123,0.547132463,0.725978661,0.519428905,0.442227153,0.75214759
125,tr_better,0.593614154,0.506450555,0.664287193,0.553124979,0.466432958,0.610558908,0.657994646,0.542965052,0.728509614,0.524120481,0.44693423,0.742646303
126,tr_better,0.591438472,0.508537193,0.66397203,0.552380133,0.498424538,0.625262755,0.659047909,0.544705493,0.731048996,0.526332769,0.448848457,0.763209878
127,tr_better,0.593667796,0.508378881,0.666529928,0.553517125,0.499810619,0.611372991,0.659095631,0.546758942,0.728531143,0.523472543,0.447247585,0.747616485
128,tr_better,0.591786726,0.510784101,0.663970484,0.551917724,0.490247245,0.604626073,0.658963767,0.547257755,0.729972537,0.525363163,0.448662732,0.756121852
129,tr_better,0.593096576,0.508377266,0.66569104,0.553244362,0.465124877,0.612172451,0.658134617,0.543731113,0.728007532,0.523851644,0.447027823,0.750706701
130,tr_better,0.592873267,0.507241021,0.663702705,0.550155778,0.467327453,0.610874975,0.661907656,0.551139178,0.734693628,0.525943924,0.447586877,0.747698457
131,tr_better,0.594321817,0.516028894,0.66422057,0.554684722,0.489944857,0.6410711,0.661855318,0.548537903,0.730788698,0.525271025,0.447595249,0.755406442
132,tr_better,0.597054271,0.51442247,0.668233157,0.554222334,0.46702772,0.593299588,0.654735966,0.545175581,0.725482342,0.518206394,0.442367136,0.747732437
133,tr_better,0.593151765,0.507121196,0.665612244,0.551750016,0.478379783,0.618347085,0.649565705,0.539154428,0.717999122,0.518368306,0.441791805,0.752904624
134,tr_better,0.599510807,0.51614322,0.673424168,0.553344355,0.468283109,0.614301455,0.656299344,0.544118615,0.723699048,0.520998924,0.443619235,0.756573244
135,tr_better,0.601557911,0.517464043,0.670852748,0.553711158,0.480424206,0.615633289,0.649624937,0.540309048,0.718368279,0.516697232,0.440213887,0.735089701
136,tr_better,0.594985022,0.514209455,0.667495252,0.553514416,0.49151563,0.622650451,0.657925069,0.546135606,0.728826736,0.522169758,0.444598403,0.757780967
137,tr_better,0.593962453,0.5103365,0.664713325,0.553428783,0.477490568,0.611613142,0.658332818,0.547527437,0.725166698,0.525105587,0.447373067,0.753105457
138,tr_better,0.595787528,0.51473251,0.664476724,0.554134978,0.477299474,0.618941006,0.654221744,0.539526567,0.7247829,0.520248004,0.44344871,0.746270821
139,tr_better,0.59509298,0.512586045,0.664327503,0.553770511,0.491753912,0.595384857,0.659067595,0.547817339,0.727131794,0.523378784,0.446322991,0.749710768
140,tr_better,0.593770992,0.508147466,0.666919181,0.553114172,0.49638883,0.615455543,0.656694682,0.543567178,0.728049283,0.522730299,0.444672986,0.748358356
