Task,treatment,rho_ha_est,rho_ha_min,rho_ha_max,rho_hh_est,rho_hh_min,rho_hh_max,phi_0_est,phi_0_min,phi_0_max,alpha_est,alpha_min,alpha_max
133,tr_worse,0.311908695,0.21200459,0.402044541,0.537723999,0.465259927,0.598732891,1.313579697,1.164959153,1.454767457,1.022588519,0.803928867,1.361607298
134,tr_worse,0.315718449,0.217939288,0.408743888,0.538499308,0.485340521,0.594703285,1.309176423,1.138111616,1.450876306,1.023274176,0.80792777,1.34170479
135,tr_worse,0.314975092,0.21763841,0.41068444,0.539191838,0.472166964,0.600946152,1.31426597,1.156482584,1.455287029,1.033559148,0.809076932,1.379470949
136,tr_worse,0.313744984,0.217422567,0.405190457,0.53933429,0.483430195,0.59007486,1.30535986,1.136936351,1.443143725,1.021328072,0.803409831,1.360727705
137,tr_worse,0.311186764,0.216013959,0.404313433,0.53827546,0.462734581,0.613042359,1.309298255,1.147592535,1.449355439,1.020307473,0.802506401,1.347548814
138,tr_worse,0.313431043,0.214905428,0.407677112,0.539051193,0.4677982,0.605089516,1.315490734,1.153942016,1.457583665,1.032708855,0.810945131,1.371238211
139,tr_worse,0.312839799,0.215708082,0.405633071,0.538810947,0.473099933,0.60071079,1.316881855,1.169211611,1.45450878,1.034105218,0.813191514,1.388337317
140,tr_worse,0.314887697,0.219405623,0.409607733,0.539382053,0.488444106,0.613378006,1.316658764,1.176745292,1.458503635,1.036278184,0.810605702,1.3850784
141,tr_worse,0.313992805,0.217009462,0.406143943,0.539030652,0.489623441,0.610393727,1.314698316,1.153401536,1.457177019,1.032989889,0.811743611,1.37985514
142,tr_worse,0.315269439,0.216802448,0.410094555,0.538715331,0.474592761,0.592341824,1.316053268,1.163437566,1.458276426,1.034808731,0.807295291,1.368200639
143,tr_worse,0.314845821,0.2188805,0.40965883,0.538690918,0.472513243,0.593219719,1.315786188,1.156682724,1.454820695,1.038804487,0.818474523,1.38876552
144,tr_worse,0.313346483,0.214505308,0.409924262,0.538093238,0.475300487,0.606241739,1.316705693,1.161069535,1.456707769,1.036009296,0.812863592,1.368051225
145,tr_worse,0.31217873,0.213884174,0.406455316,0.53971328,0.485924544,0.602611617,1.308323145,1.161750699,1.444759773,1.016257464,0.802000328,1.359267678
146,tr_worse,0.31363456,0.215269619,0.404708403,0.538426466,0.472183133,0.600400074,1.313039205,1.165023358,1.458514384,1.031995562,0.806126548,1.364802125
147,tr_worse,0.3159692,0.220547491,0.410951334,0.539740225,0.453421419,0.605955565,1.314774727,1.170057445,1.451438596,1.036027569,0.808659576,1.382187936
148,tr_worse,0.311783809,0.216231834,0.405356599,0.538673046,0.48652851,0.621655652,1.311724011,1.157340627,1.45328096,1.026640266,0.805614152,1.360295282
149,tr_worse,0.311301355,0.212786503,0.407525831,0.537663323,0.470721983,0.585078642,1.31306954,1.166779835,1.451878853,1.02548799,0.808829929,1.363894581
150,tr_worse,0.314074559,0.218065869,0.408124467,0.539496553,0.483674383,0.596149794,1.313712808,1.163400937,1.450559068,1.034067942,0.807186185,1.377707114
151,tr_worse,0.313434473,0.214485021,0.404873298,0.539014256,0.47383249,0.613561106,1.313412193,1.166988833,1.450912399,1.032181279,0.812050125,1.362215533
